学校名,办学类型,最高分,平均分,最低分,最低排名,省控线,录取批次,开设专业
湖北师范大学文理学院,独立学院,--,--,--,--,--,--,师范 学前教育 小学教育
湖北师范大学,普通本科,602.00,595.00,588.00,53141,588,平行录取一段,师范 教育学 学前教育 特殊教育 教育技术学 小学教育
湖北师范大学,普通本科,--,--,569.00,73990,490,平行录取二段,师范 教育学 学前教育 特殊教育 教育技术学 小学教育
黄冈师范学院,普通本科,--,--,--,--,--,--,师范 学前教育 科学教育 教育技术学
牡丹江师范学院,普通本科,543.00,--,542.00,103416,490,平行录取二段,师范 教育学 学前教育 科学教育 教育技术学 小学教育
四川幼儿师范高等专科学校,专科（高职）,--,--,--,--,--,--,师范
重庆师范大学涉外商贸学院,普通本科,557.00,--,503.00,144191,490,平行录取二段,师范
重庆师范大学涉外商贸学院,普通本科,--,--,557.00,87261,344,平行录取三段,师范
广东技术师范大学,普通本科,--,--,--,--,--,--,师范 学前教育 教育技术学
长沙师范学院,普通本科,--,--,--,--,--,--,师范 学前教育 科学教育 小学教育
重庆第二师范学院,普通本科,--,--,--,--,--,--,师范 学前教育 艺术教育 小学教育
福建师范大学,普通本科,624.00,604.00,591.00,49957,588,平行录取一段,师范 教育学 学前教育 教育技术学 小学教育
福建师范大学,普通本科,--,--,574.00,68468,490,平行录取二段,师范 教育学 学前教育 教育技术学 小学教育
泉州师范学院,普通本科,--,--,535.00,110842,490,平行录取二段,师范 学前教育 艺术教育 特殊教育 教育技术学 小学教育
闽南师范大学,普通本科,--,--,591.00,49957,588,平行录取一段,师范 学前教育 科学教育 教育技术学 小学教育
闽南师范大学,普通本科,592.00,578.00,570.00,72877,490,平行录取二段,师范 学前教育 科学教育 教育技术学 小学教育
郑州幼儿师范高等专科学校,专科（高职）,--,--,--,--,--,--,师范
洛阳师范学院,普通本科,574.00,--,550.00,94794,490,平行录取二段,师范 教育学 学前教育 小学教育
周口师范学院,普通本科,564.00,--,548.00,96962,490,平行录取二段,师范 学前教育 小学教育
南阳师范学院,普通本科,--,--,550.00,94794,490,平行录取二段,师范 教育学 学前教育 教育技术学 小学教育
商丘师范学院,普通本科,--,--,549.00,95883,490,平行录取二段,师范 学前教育 小学教育
新疆师范高等专科学校,专科（高职）,--,--,--,--,--,--,师范
哈尔滨幼儿师范高等专科学校,专科（高职）,--,--,--,--,--,--,师范 学前教育
西北师范大学,普通本科,596.00,575.00,561.00,82841,588,平行录取一段,师范 教育技术学
西北师范大学,普通本科,--,--,561.00,82841,490,平行录取二段,师范 教育技术学
琼台师范学院,普通本科,567.00,--,558.00,86164,490,平行录取二段,师范 学前教育 科学教育 小学教育
琼台师范学院,普通本科,549.00,--,491.00,155917,344,平行录取三段,师范 学前教育 科学教育 小学教育
南京师范大学中北学院,独立学院,--,--,551.00,93653,490,平行录取二段,师范
大庆师范学院,普通本科,549.00,--,547.00,98072,588,平行录取一段,师范 学前教育
大庆师范学院,普通本科,--,--,546.00,99147,490,平行录取二段,师范 学前教育
重庆幼儿师范高等专科学校,专科（高职）,--,--,--,--,--,--,师范
江苏师范大学科文学院,独立学院,--,--,528.00,118144,490,平行录取二段,师范
河南师范大学新联学院,独立学院,--,--,--,--,--,--,师范 学前教育 教育技术学 小学教育
曲阜师范大学,普通本科,--,--,588.00,53141,588,平行录取一段,师范 教育学 教育技术学 小学教育
曲阜师范大学,普通本科,--,--,554.00,90427,490,平行录取二段,师范 教育学 教育技术学 小学教育
阜阳师范学院,普通本科,--,--,559.00,85053,490,平行录取二段,师范 学前教育 科学教育 小学教育
保定学院,普通本科,--,--,--,--,--,--,人文教育 学前教育 科学教育 特殊教育 教育技术学 小学教育
黑河学院,普通本科,--,--,--,--,--,--,人文教育 学前教育 教育技术学 小学教育
怀化学院,普通本科,--,--,550.00,94794,490,平行录取二段,人文教育 学前教育 科学教育 小学教育
韶关学院,普通本科,579.00,576.20,559.00,85053,490,平行录取二段,人文教育 学前教育 艺术教育 小学教育
湖南人文科技学院,普通本科,--,--,549.00,95883,490,平行录取二段,人文教育 学前教育
香港城市大学,普通本科,--,--,--,--,--,--,人文教育
百色学院,普通本科,--,--,--,--,--,--,人文教育 学前教育 小学教育
许昌学院,普通本科,564.00,--,547.00,98072,588,平行录取一段,人文教育 学前教育 科学教育 小学教育
许昌学院,普通本科,--,--,547.00,98072,490,平行录取二段,人文教育 学前教育 科学教育 小学教育
宁波大学,普通本科,--,--,595.00,45903,588,平行录取一段,人文教育 教育学 学前教育 科学教育 教育技术学 小学教育
